spu_code,month,qty,revenue
PR000048,2025-12,481,1680.7
PR000048,2026-01,411,1495.08
PR000048,2026-02,244,902.11
PR000049,2025-05,31,35.55
PR000049,2025-06,80,80.76
PR000049,2025-07,908,2610.64
PR000049,2025-08,639,1895.47
PR000050,2025-05,5,5.05
PR000050,2025-06,66,64.94
PR000050,2025-07,888,2584.83
PR000050,2025-08,1362,4227.43
PR000050,2025-09,1295,4341.34
PR000050,2025-10,940,3182.15
PR000050,2025-11,923,2881.69
PR000050,2025-12,983,3203.31
PR000050,2026-01,924,3138.88
PR000050,2026-02,607,2158.12
PR000051,2025-05,14,14.14
PR000051,2025-06,61,65.4
PR000051,2025-07,573,1666.13
PR000051,2025-08,689,2141.46
PR000051,2025-09,743,2481.49
PR000051,2025-10,530,1769.64
PR000051,2025-11,238,787.26
PR000051,2025-12,555,1912.99
PR000051,2026-01,418,1484.93
PR000051,2026-02,5,16.87
PR000054,2025-05,1,8.84
PR000055,2025-05,1,8.84
PR000056,2025-05,5,41.2
PR000060,2025-06,1,0.4
PR000060,2026-01,10,8.2
PR000061,2025-06,9,30.6
PR000061,2025-07,164,561.0
PR000061,2025-08,225,771.8
PR000062,2025-06,4,12.0
PR000062,2025-07,188,569.25
PR000062,2025-08,174,534.0
PR000063,2025-06,28,126.56
PR000063,2025-07,541,2467.92
PR000063,2025-08,787,3641.49
PR000063,2025-09,1143,6583.35
PR000063,2025-10,1476,8487.6
PR000063,2025-11,1647,8275.45
PR000063,2025-12,2261,10730.64
PR000063,2026-01,2374,11273.16
PR000063,2026-02,1562,7262.65
PR000064,2025-06,15,59.4
PR000064,2025-07,287,1153.35
PR000064,2025-08,437,1757.25
PR000065,2025-06,5,9.8
PR000065,2025-07,138,271.95
PR000065,2025-08,157,309.19
PR000066,2025-06,17,36.25
PR000066,2025-07,126,409.0
PR000066,2025-08,161,540.15
PR000068,2025-09,953,4264.21
PR000068,2025-10,422,1621.0
PR000068,2025-11,465,1707.43
PR000068,2025-12,454,1706.48
PR000068,2026-01,485,1934.13
PR000068,2026-02,279,1109.41
PR000069,2025-09,853,3286.74
PR000069,2025-10,546,2369.16
PR000069,2025-11,526,2137.38
PR000069,2025-12,483,1833.44
PR000069,2026-01,433,1683.25
PR000069,2026-02,268,1088.72
PR000070,2025-08,202,680.25
PR000070,2025-09,1028,3591.14
PR000070,2025-10,761,2827.08
PR000070,2025-11,596,2210.74
PR000070,2025-12,300,1047.35
PR000070,2026-01,571,2007.74
PR000070,2026-02,351,1245.12
PR000071,2025-08,1322,4242.76
PR000071,2025-09,8572,30081.02
PR000071,2025-10,7581,27776.11
PR000071,2025-11,5423,18989.46
PR000071,2025-12,5729,19089.0
PR000071,2026-01,5465,18027.81
PR000071,2026-02,3179,11029.85
PR000072,2025-08,130,447.61
PR000072,2025-09,984,3268.51
PR000072,2025-10,2046,7249.79
PR000072,2025-11,2573,8713.7
PR000072,2025-12,3973,13071.65
PR000072,2026-01,3400,11399.12
PR000072,2026-02,1793,6194.52
PR000073,2025-08,1302,4385.94
PR000073,2025-09,5777,20577.75
PR000073,2025-10,3402,12662.47
PR000073,2025-11,2206,7845.43
PR000073,2025-12,2343,8118.67
PR000073,2026-01,2102,7155.18
PR000073,2026-02,1079,3702.22
PR000074,2025-08,127,440.4
PR000074,2025-09,683,2326.33
PR000074,2025-10,955,3374.05
PR000074,2025-11,1047,3431.82
PR000074,2025-12,1676,5570.76
PR000074,2026-01,1335,4682.56
PR000074,2026-02,537,1892.37
PR000075,2025-08,301,995.72
PR000075,2025-09,1466,4754.51
PR000075,2025-10,1018,3521.04
PR000075,2025-11,769,2688.52
PR000075,2025-12,798,2693.31
PR000075,2026-01,725,2450.56
PR000075,2026-02,406,1380.36
PR000076,2025-08,18,103.5
PR000076,2025-09,605,3510.07
PR000076,2025-10,800,4646.4
PR000076,2025-11,742,3710.71
PR000076,2025-12,1110,5293.55
PR000076,2026-01,1127,5369.1
PR000076,2026-02,708,3333.37
PR000077,2025-08,16,87.2
PR000077,2025-09,692,3808.66
PR000077,2025-10,846,4657.14
PR000077,2025-11,852,4046.65
PR000077,2025-12,1168,5325.64
PR000077,2026-01,999,4559.64
PR000077,2026-02,626,2823.71
PR000078,2025-08,11,57.75
PR000078,2025-09,319,1704.43
PR000078,2025-10,372,1981.62
PR000078,2025-11,387,1798.09
PR000078,2025-12,455,2036.08
PR000078,2026-01,456,2026.23
PR000078,2026-02,294,1284.96
PR000079,2025-08,6,31.5
PR000079,2025-09,323,1695.75
PR000079,2025-10,447,2346.75
PR000079,2025-11,388,1761.17
PR000079,2025-12,602,2663.88
PR000079,2026-01,674,2967.3
PR000079,2026-02,471,2056.21
PR000080,2025-10,5319,21201.42
PR000080,2025-11,2454,8810.47
PR000080,2025-12,2392,8294.49
PR000080,2026-01,2236,7934.3
PR000080,2026-02,1282,4569.96
PR000081,2025-09,1,6.75
PR000081,2025-10,1683,5916.23
PR000081,2025-11,1261,4165.07
PR000081,2025-12,1867,6380.13
PR000081,2026-01,1579,5559.54
PR000081,2026-02,816,3060.04
PR000083,2025-09,1943,7298.13
PR000083,2025-10,2524,9155.6
PR000083,2025-11,772,2624.87
PR000083,2025-12,406,1418.25
PR000083,2026-01,310,1060.98
PR000083,2026-02,133,480.86
PR000084,2025-09,502,1807.32
PR000084,2025-10,1943,6591.05
PR000084,2025-11,1170,3768.54
PR000084,2025-12,1117,3821.6
PR000084,2026-01,655,2353.48
PR000084,2026-02,300,1116.78
PR000086,2025-10,846,3137.57
PR000086,2025-11,1899,6678.86
PR000086,2025-12,1551,5722.39
PR000086,2026-01,1441,5705.41
PR000086,2026-02,826,3204.07
PR000087,2025-10,791,2784.32
PR000087,2025-11,2293,7674.03
PR000087,2025-12,2799,9553.26
PR000087,2026-01,2130,7583.99
PR000087,2026-02,974,3600.74
PR000088,2025-10,1026,3959.7
PR000088,2025-11,2150,7350.66
PR000088,2025-12,1680,5989.85
PR000088,2026-01,1181,4271.07
PR000088,2026-02,524,1952.02
PR000089,2025-10,785,2860.97
PR000089,2025-11,2127,7032.01
PR000089,2025-12,2774,9676.36
PR000089,2026-01,1720,5983.01
PR000089,2026-02,733,2715.13
PR000090,2025-11,2478,8739.42
PR000090,2025-12,2097,7289.32
PR000090,2026-01,1206,4315.56
PR000090,2026-02,501,1828.51
PR000091,2025-11,2802,9339.32
PR000091,2025-12,3583,11822.78
PR000091,2026-01,1721,5885.67
PR000091,2026-02,608,2230.94
PR000101,2025-10,1,3.0
PR000101,2025-12,2,8.84
PR000101,2026-01,10,44.0
PR000107,2025-12,2,19.9
PR000108,2026-01,1214,4704.64
PR000108,2026-02,1052,4160.28
PR000109,2026-01,1269,4741.58
PR000109,2026-02,956,3649.78
PR000110,2026-01,1846,6936.47
PR000110,2026-02,1236,4484.2
PR000111,2026-01,2735,10023.44
PR000111,2026-02,1674,6157.69
PR000112,2026-02,1497,5382.79
PR000113,2026-02,1242,4457.6
PR000114,2026-02,459,1574.34
